item,itemLabel
http://www.wikidata.org/entity/Q3350144,Padma Patil
http://www.wikidata.org/entity/Q3432612,Kingsley Shacklebolt
http://www.wikidata.org/entity/Q774644,Arabella Figg
http://www.wikidata.org/entity/Q835558,Sybill Trelawney
http://www.wikidata.org/entity/Q904719,Aberforth Dumbledore
http://www.wikidata.org/entity/Q1057918,Bellatrix Lestrange
http://www.wikidata.org/entity/Q1541227,Irma Pince
http://www.wikidata.org/entity/Q3284911,Percy Weasley
http://www.wikidata.org/entity/Q190366,Neville Longbottom
http://www.wikidata.org/entity/Q1056425,Alastor Moody
http://www.wikidata.org/entity/Q1072067,Garrick Ollivander
http://www.wikidata.org/entity/Q1261224,Olympe Maxime
http://www.wikidata.org/entity/Q3296719,Firenze
http://www.wikidata.org/entity/Q3226215,Dean Thomas
http://www.wikidata.org/entity/Q10289457,Gibbon
http://www.wikidata.org/entity/Q10369818,Selwyn
http://www.wikidata.org/entity/Q3222624,Katie Bell
http://www.wikidata.org/entity/Q15269456,Louis Weasley
http://www.wikidata.org/entity/Q5891802,Hannah Abbott
http://www.wikidata.org/entity/Q5893672,Helena Ravenclaw
http://www.wikidata.org/entity/Q5956830,Justin Finch-Fletchley
http://www.wikidata.org/entity/Q5959014,Kendra Dumbledore
http://www.wikidata.org/entity/Q5989590,Mafalda Hopkirk
http://www.wikidata.org/entity/Q6049339,Ogg
http://www.wikidata.org/entity/Q6133540,Mrs. Granger
http://www.wikidata.org/entity/Q5864615,The Fat Friar
http://www.wikidata.org/entity/Q10264933,Demelza Robins
http://www.wikidata.org/entity/Q10266348,Dilys Derwent
http://www.wikidata.org/entity/Q10299244,Hokey
http://www.wikidata.org/entity/Q10322901,Mrs. Norris
http://www.wikidata.org/entity/Q10348402,Penelope Clearwater
http://www.wikidata.org/entity/Q10380489,Terry Boot
http://www.wikidata.org/entity/Q10394844,Zacharias Smith
http://www.wikidata.org/entity/Q11958446,Antonin Dolohov
http://www.wikidata.org/entity/Q3311857,Winky
http://www.wikidata.org/entity/Q4199500,Lee Jordan
http://www.wikidata.org/entity/Q14725004,Bathilda Bagshot
http://www.wikidata.org/entity/Q3306068,Oliver Wood
http://www.wikidata.org/entity/Q5829967,Elphias Doge
http://www.wikidata.org/entity/Q6136284,Susan Bones
http://www.wikidata.org/entity/Q9631186,Artemisia Lufkin
http://www.wikidata.org/entity/Q10314198,Kennilworthy Whisp
http://www.wikidata.org/entity/Q11311970,Stan Shunpike
http://www.wikidata.org/entity/Q12507581,Rabastan Lestrange
http://www.wikidata.org/entity/Q13090126,Pollux Black
http://www.wikidata.org/entity/Q2696107,Wilhelmina Grubbly-Plank
http://www.wikidata.org/entity/Q3349480,Godric Gryffindor
http://www.wikidata.org/entity/Q3626577,Charity Burbage
http://www.wikidata.org/entity/Q15241967,Bloody Baron
http://www.wikidata.org/entity/Q15257494,Faris Spavin
http://www.wikidata.org/entity/Q5153269,Merope Gaunt
http://www.wikidata.org/entity/Q10292656,Gwenog Jones
http://www.wikidata.org/entity/Q10325409,Marcus Belby
http://www.wikidata.org/entity/Q3080574,Helga Hufflepuff
http://www.wikidata.org/entity/Q3221658,Cormac McLaggen
